,name,rating,
0,Binod Babu,4 stars,Balchhi Dhurbe Futsal
1,Shakti Nagarkoti,5 stars,Balchhi Dhurbe Futsal
2,Bibek Dahal,1 star,Balchhi Dhurbe Futsal
3,All in One,5 stars,Balchhi Dhurbe Futsal
4,Bha Rat,5 stars,Balchhi Dhurbe Futsal
5,Chandra Kshetri,3 stars,Balchhi Dhurbe Futsal
6,Pramesh Malla,4 stars,Balchhi Dhurbe Futsal
7,jeremy zucker,3 stars,Balchhi Dhurbe Futsal
8,Dipson,5 stars,Balchhi Dhurbe Futsal
9,Ashok Bhatta,3 stars,Balchhi Dhurbe Futsal
10,Tej kiran Joshi,4 stars,Balchhi Dhurbe Futsal
11,Creez_ oN,3 stars,Balchhi Dhurbe Futsal
12,Santosh Pandey,5 stars,Balchhi Dhurbe Futsal
13,Kumar Adhikari,4 stars,Balchhi Dhurbe Futsal
14,Bibekananda Pandey (Bibek),4 stars,Balchhi Dhurbe Futsal
15,Uttam Ghimire,5 stars,Balchhi Dhurbe Futsal
16,Sabin Aryal,4 stars,Balchhi Dhurbe Futsal
17,mithrandir,5 stars,Balchhi Dhurbe Futsal
18,ऋमश:,5 stars,Balchhi Dhurbe Futsal
19,Arun Prasad Bhattarai,4 stars,Balchhi Dhurbe Futsal
20,Suchit Mahanka,5 stars,Balchhi Dhurbe Futsal
21,Srijana Shrestha,5 stars,Balchhi Dhurbe Futsal
22,Ateet Man Dangol,4 stars,Balchhi Dhurbe Futsal
23,Bibek Jr Kaphle,5 stars,Balchhi Dhurbe Futsal
24,Bipin Kumar Gupta,4 stars,Balchhi Dhurbe Futsal
25,Sharad Neupane,5 stars,Balchhi Dhurbe Futsal
26,Kushal Neupane,4 stars,Balchhi Dhurbe Futsal
27,Tiger,5 stars,Balchhi Dhurbe Futsal
28,Himalayan Trekking Path Pvt. Ltd,5 stars,Balchhi Dhurbe Futsal
29,Pyara Jang Thapa,5 stars,Balchhi Dhurbe Futsal
30,KUSHAL SHRESTHA,3 stars,Balchhi Dhurbe Futsal
31,Sangita Baram Maski,4 stars,Balchhi Dhurbe Futsal
32,Chandra Limbu,5 stars,Balchhi Dhurbe Futsal
33,Dehosted Chocolaty Newa,5 stars,Balchhi Dhurbe Futsal
34,COC King,1 star,Balchhi Dhurbe Futsal
35,SQUAD BOYZZ,4 stars,Balchhi Dhurbe Futsal
36,Akhilesh Karki,5 stars,Balchhi Dhurbe Futsal
37,Ravi,4 stars,Balchhi Dhurbe Futsal
38,VIJAYA K. C.,5 stars,Balchhi Dhurbe Futsal
39,shishir regmi,4 stars,Balchhi Dhurbe Futsal
40,Kailash Lamichhane,2 stars,Balchhi Dhurbe Futsal
41,samim khan,5 stars,Balchhi Dhurbe Futsal
42,IndrayaniMotor GaragePvtLtd,5 stars,Balchhi Dhurbe Futsal
43,Nirmala Pandit,5 stars,Balchhi Dhurbe Futsal
44,Subraj Rajak,2 stars,Balchhi Dhurbe Futsal
45,Rabin Khatiwada,3 stars,Balchhi Dhurbe Futsal
46,धमेन्द्र महर्जन,4 stars,Balchhi Dhurbe Futsal
47,Shishir Poudel,4 stars,Balchhi Dhurbe Futsal
48,Roshan Aryal,4 stars,Balchhi Dhurbe Futsal
49,#Jitman Tamang,5 stars,Balchhi Dhurbe Futsal
50,chhewang dong,5 stars,Balchhi Dhurbe Futsal
51,Anup Adhikary,4 stars,Balchhi Dhurbe Futsal
52,Rainbow Mountain Treks,3 stars,Balchhi Dhurbe Futsal
53,netra bagale,4 stars,Balchhi Dhurbe Futsal
54,Aliz Parajuli,5 stars,Balchhi Dhurbe Futsal
55,Birendra Adhikari,1 star,Balchhi Dhurbe Futsal
56,Subarna Shrestha,5 stars,Balchhi Dhurbe Futsal
57,Raju Tolangi Gurung,5 stars,Balchhi Dhurbe Futsal
58,Aman Shrestha,5 stars,Balchhi Dhurbe Futsal
59,Shreejana Yogi,3 stars,Balchhi Dhurbe Futsal
60,Anonymous web,5 stars,Balchhi Dhurbe Futsal
61,Bhagwat Ghimire,4 stars,Balchhi Dhurbe Futsal
62,mani amrold,2 stars,Balchhi Dhurbe Futsal
63,Govinda Amgain,1 star,Balchhi Dhurbe Futsal
64,Dr Bikram Budhathoki,5 stars,Balchhi Dhurbe Futsal
65,Dinesh Adhikari,3 stars,Balchhi Dhurbe Futsal
66,Bikalpa Sharma,4 stars,Balchhi Dhurbe Futsal
67,pankaj pangeni,2 stars,Balchhi Dhurbe Futsal
68,Yagya jung Shah,4 stars,Balchhi Dhurbe Futsal
69,Stoned Monk 17,3 stars,Balchhi Dhurbe Futsal
70,Pramod Bhandari,4 stars,Balchhi Dhurbe Futsal
71,Dipesh Karki,4 stars,Balchhi Dhurbe Futsal
72,Rupak paudel,4 stars,Balchhi Dhurbe Futsal
73,Nabin Bagale,4 stars,Balchhi Dhurbe Futsal
74,Smaran Rayamajhi,3 stars,Balchhi Dhurbe Futsal
75,Prakash khadka,2 stars,Balchhi Dhurbe Futsal
76,Sanzay Maharzan,5 stars,Balchhi Dhurbe Futsal
77,SPANDAN BHATTA,5 stars,Balchhi Dhurbe Futsal
78,Aavash Neupane,1 star,Balchhi Dhurbe Futsal
