,name,rating,
0,Rabindra Karki,4 stars,BG Brothers Health Club Futsal
1,Ishwor Karki,4 stars,BG Brothers Health Club Futsal
2,Aayush Pandey,2 stars,BG Brothers Health Club Futsal
3,sirjan shahi,5 stars,BG Brothers Health Club Futsal
4,Rajiv Shrestha,4 stars,BG Brothers Health Club Futsal
5,Asmit Ghimire,2 stars,BG Brothers Health Club Futsal
6,Kiran Timsina,1 star,BG Brothers Health Club Futsal
7,Anish Khadgi,3 stars,BG Brothers Health Club Futsal
8,Vishesh Gautam,4 stars,BG Brothers Health Club Futsal
9,Surya Poudel,4 stars,BG Brothers Health Club Futsal
10,Bikesh Budhathoki,4 stars,BG Brothers Health Club Futsal
11,Mangekyo,4 stars,BG Brothers Health Club Futsal
12,bishal khadka,1 star,BG Brothers Health Club Futsal
13,AMJ,3 stars,BG Brothers Health Club Futsal
14,Ankit Raut (Wangchung),5 stars,BG Brothers Health Club Futsal
15,Sujan Rimal,1 star,BG Brothers Health Club Futsal
16,sanam acharya,4 stars,BG Brothers Health Club Futsal
17,Keshab Bhatta,2 stars,BG Brothers Health Club Futsal
18,Buddha Raj Wagle,5 stars,BG Brothers Health Club Futsal
19,Binayak Acharya,5 stars,BG Brothers Health Club Futsal
20,Ishwor Gc,3 stars,BG Brothers Health Club Futsal
21,Sudip Gautam,5 stars,BG Brothers Health Club Futsal
22,Kritesh Neupane,1 star,BG Brothers Health Club Futsal
23,Nischal Acharya,3 stars,BG Brothers Health Club Futsal
24,Ààyûsh Tîmàl ç ñá,5 stars,BG Brothers Health Club Futsal
25,Dipan Adhikari,1 star,BG Brothers Health Club Futsal
26,Bhupesh Thagunna,4 stars,BG Brothers Health Club Futsal
27,OneHive Invicta's,4 stars,BG Brothers Health Club Futsal
28,Sital Sitoula,4 stars,BG Brothers Health Club Futsal
29,Milan Shiwakoti,5 stars,BG Brothers Health Club Futsal
30,Adit Ghimire,4 stars,BG Brothers Health Club Futsal
31,kundan koirala,3 stars,BG Brothers Health Club Futsal
32,Dinesh KC,3 stars,BG Brothers Health Club Futsal
33,Ujjwal Nepal,1 star,BG Brothers Health Club Futsal
34,बर्खेलि दाई,3 stars,BG Brothers Health Club Futsal
35,Bijay Dawadi,3 stars,BG Brothers Health Club Futsal
36,Gokul Budha,3 stars,BG Brothers Health Club Futsal
37,Rijan Dahal,5 stars,BG Brothers Health Club Futsal
38,Random Action,5 stars,BG Brothers Health Club Futsal
39,Bidhan pokharel,5 stars,BG Brothers Health Club Futsal
40,Diwakar khatiwada,4 stars,BG Brothers Health Club Futsal
41,Tek Guragain,4 stars,BG Brothers Health Club Futsal
42,Sandip Neupane,3 stars,BG Brothers Health Club Futsal
43,Kailash Karki,2 stars,BG Brothers Health Club Futsal
44,mandip neupane,4 stars,BG Brothers Health Club Futsal
45,RoJaBa Sings,5 stars,BG Brothers Health Club Futsal
46,AB Shai,3 stars,BG Brothers Health Club Futsal
47,Sumit Dahal,3 stars,BG Brothers Health Club Futsal
48,Prince Shrestha,5 stars,BG Brothers Health Club Futsal
49,Niraj Bhusal,5 stars,BG Brothers Health Club Futsal
50,sunil man,4 stars,BG Brothers Health Club Futsal
51,Bishal Dhakal,3 stars,BG Brothers Health Club Futsal
52,Prashish Shrestha,4 stars,BG Brothers Health Club Futsal
53,Rajan Neupane,5 stars,BG Brothers Health Club Futsal
54,Tong Man Thapa,2 stars,BG Brothers Health Club Futsal
55,chajan Shrestha,5 stars,BG Brothers Health Club Futsal
56,Damber Poudyel,5 stars,BG Brothers Health Club Futsal
57,Sanjaya Upreti,5 stars,BG Brothers Health Club Futsal
58,Samir Karki,3 stars,BG Brothers Health Club Futsal
59,BikraM KazI ThapA,3 stars,BG Brothers Health Club Futsal
60,Niraj Poudyal,5 stars,BG Brothers Health Club Futsal
61,aiden nepali,3 stars,BG Brothers Health Club Futsal
62,shreyansh raut,4 stars,BG Brothers Health Club Futsal
63,Roshan Ghimire,5 stars,BG Brothers Health Club Futsal
64,Jyoti Kiran Uprety,5 stars,BG Brothers Health Club Futsal
65,flick sangit,4 stars,BG Brothers Health Club Futsal
66,Prabin Shrestha,4 stars,BG Brothers Health Club Futsal
67,Dhanman Ghale,3 stars,BG Brothers Health Club Futsal
68,Uzwal Uprety,4 stars,BG Brothers Health Club Futsal
69,Suhant KC,5 stars,BG Brothers Health Club Futsal
70,Sushant Singh Tharu,4 stars,BG Brothers Health Club Futsal
71,Ccir Chapagain,1 star,BG Brothers Health Club Futsal
72,Saroj Khadka,5 stars,BG Brothers Health Club Futsal
73,Sameer Subba,2 stars,BG Brothers Health Club Futsal
74,Sushant Adhikari,4 stars,BG Brothers Health Club Futsal
75,Michael Nepal,5 stars,BG Brothers Health Club Futsal
76,Prashish Shrestha,2 stars,BG Brothers Health Club Futsal
77,Bidur Basnet,5 stars,BG Brothers Health Club Futsal
78,Kritagya Chand,5 stars,BG Brothers Health Club Futsal
79,Rajesh Poudel,1 star,BG Brothers Health Club Futsal
80,Surya Neupane,5 stars,BG Brothers Health Club Futsal
81,aashish khatri,5 stars,BG Brothers Health Club Futsal
82,Ishwar Chaudhary,4 stars,BG Brothers Health Club Futsal
83,basant karki,5 stars,BG Brothers Health Club Futsal
84,Kishan Kumar,5 stars,BG Brothers Health Club Futsal
85,THE PHENOMENALS,3 stars,BG Brothers Health Club Futsal
86,Electrix Spectrum,5 stars,BG Brothers Health Club Futsal
87,Ganesh Khadka,3 stars,BG Brothers Health Club Futsal
88,Dipesh Khatiwada,3 stars,BG Brothers Health Club Futsal
89,Sudeep Jamkatel,3 stars,BG Brothers Health Club Futsal
90,Sandip Pokhrel,4 stars,BG Brothers Health Club Futsal
91,Nabin Jung Rana,3 stars,BG Brothers Health Club Futsal
92,Kamal Prasad Gautam,3 stars,BG Brothers Health Club Futsal
93,Ramesh Bhandari,5 stars,BG Brothers Health Club Futsal
94,Meliodas s,5 stars,BG Brothers Health Club Futsal
95,AAYUSH BAGALE,5 stars,BG Brothers Health Club Futsal
96,ISHWOR SHARMA,4 stars,BG Brothers Health Club Futsal
97,Sameer Basnet,5 stars,BG Brothers Health Club Futsal
98,Sanjay Shiwakoti,3 stars,BG Brothers Health Club Futsal
99,Manit Acharya,5 stars,BG Brothers Health Club Futsal
100,Nishedh Adhikari,1 star,BG Brothers Health Club Futsal
101,ghimire kamal,3 stars,BG Brothers Health Club Futsal
102,Dislike,3 stars,BG Brothers Health Club Futsal
103,Ed Dios (Jungay),5 stars,BG Brothers Health Club Futsal
104,Shankar Khadka,5 stars,BG Brothers Health Club Futsal
105,man,4 stars,BG Brothers Health Club Futsal
106,leo cherry,3 stars,BG Brothers Health Club Futsal
107,Bíb Ăêć,3 stars,BG Brothers Health Club Futsal
108,Utsab Devkota,5 stars,BG Brothers Health Club Futsal
109,PT,1 star,BG Brothers Health Club Futsal
110,Pujan Thapa,1 star,BG Brothers Health Club Futsal
111,Tika Ram Dahal,2 stars,BG Brothers Health Club Futsal
112,prashiddha Ojha,5 stars,BG Brothers Health Club Futsal
113,prayag koirala,3 stars,BG Brothers Health Club Futsal
114,Ajay Yadav,4 stars,BG Brothers Health Club Futsal
115,shreya Ghimire,3 stars,BG Brothers Health Club Futsal
116,Ex Why Zed,1 star,BG Brothers Health Club Futsal
117,Nikhil Baral,3 stars,BG Brothers Health Club Futsal
118,Wrobik R,3 stars,BG Brothers Health Club Futsal
119,Aviyan Malla Thakuri,3 stars,BG Brothers Health Club Futsal
120,Mausam Rizal,4 stars,BG Brothers Health Club Futsal
121,Hemraj Baskota,3 stars,BG Brothers Health Club Futsal
122,Dipesh Bhattarai,4 stars,BG Brothers Health Club Futsal
123,Sabin Tako,5 stars,BG Brothers Health Club Futsal
124,Ashish Tamang,5 stars,BG Brothers Health Club Futsal
125,Ankuhang Mangpahang Rai,5 stars,BG Brothers Health Club Futsal
126,ashok khambu,4 stars,BG Brothers Health Club Futsal
127,Karuna Budhathoki,4 stars,BG Brothers Health Club Futsal
128,Salin,4 stars,BG Brothers Health Club Futsal
129,Dr Sumit Mishra,1 star,BG Brothers Health Club Futsal
130,Santosh Nath Karmacharya,4 stars,BG Brothers Health Club Futsal
131,Abhishek Singh,3 stars,BG Brothers Health Club Futsal
132,vivas koirala,5 stars,BG Brothers Health Club Futsal
133,RabeeN Gtm,4 stars,BG Brothers Health Club Futsal
134,Suresh Regmi,4 stars,BG Brothers Health Club Futsal
135,Ashim Basnet,4 stars,BG Brothers Health Club Futsal
136,Umesh K Bhattarai,4 stars,BG Brothers Health Club Futsal
137,BENU GHIMIRE,5 stars,BG Brothers Health Club Futsal
138,PREM BHANDARI,1 star,BG Brothers Health Club Futsal
139,Kishor Sharma,5 stars,BG Brothers Health Club Futsal
140,Nayãn Shrees,3 stars,BG Brothers Health Club Futsal
141,pramod thapalia,2 stars,BG Brothers Health Club Futsal
142,Shivaram sunuwar,5 stars,BG Brothers Health Club Futsal
143,Atit Shrestha,5 stars,BG Brothers Health Club Futsal
144,Pranjal Satyal,2 stars,BG Brothers Health Club Futsal
145,Pravesh Regmi,3 stars,BG Brothers Health Club Futsal
146,Computer Nepal,5 stars,BG Brothers Health Club Futsal
147,pratik sanjel,5 stars,BG Brothers Health Club Futsal
148,Aarjan Rajbhandari,3 stars,BG Brothers Health Club Futsal
149,Khagen Dahal,3 stars,BG Brothers Health Club Futsal
150,Nishan Pokhrel,3 stars,BG Brothers Health Club Futsal
151,C Abhay,3 stars,BG Brothers Health Club Futsal
152,Samil Awal,3 stars,BG Brothers Health Club Futsal
153,Tushar Sainju,5 stars,BG Brothers Health Club Futsal
154,Navraj Khanal,4 stars,BG Brothers Health Club Futsal
155,sabin thapa,1 star,BG Brothers Health Club Futsal
156,Neeschal sharma N,5 stars,BG Brothers Health Club Futsal
157,Prem Karki,1 star,BG Brothers Health Club Futsal
158,Nischal Dhoni Neupane,4 stars,BG Brothers Health Club Futsal
159,Roshan Khadka,4 stars,BG Brothers Health Club Futsal
