,name,rating,
0,Rojjan Raj Pandey (रोज्जन राज पाण्डे),3 stars,Imadol Futsal
1,Laxmie Prasad Panjiyar,5 stars,Imadol Futsal
2,Nischal Shrestha,5 stars,Imadol Futsal
3,Mehool Shrestha,4 stars,Imadol Futsal
4,Akhil Thapa,1 star,Imadol Futsal
5,Samir Thapa,4 stars,Imadol Futsal
6,Keyur Neupane,4 stars,Imadol Futsal
7,Apil KC,4 stars,Imadol Futsal
8,naresh Devkota,5 stars,Imadol Futsal
9,Nikunja Bhandari,5 stars,Imadol Futsal
10,Aayog Pandey,5 stars,Imadol Futsal
11,Mani karmacharya,2 stars,Imadol Futsal
12,Hacknopedia,4 stars,Imadol Futsal
13,Sandesh Timalsina,4 stars,Imadol Futsal
14,Ayush Bhattarai,5 stars,Imadol Futsal
15,Govinda Siwakoti,5 stars,Imadol Futsal
16,Abhishek Byanjankar,3 stars,Imadol Futsal
17,arjun sharma poudel,2 stars,Imadol Futsal
18,Mr.F00L Melon,4 stars,Imadol Futsal
19,Almost Everything,3 stars,Imadol Futsal
20,Neyong limbu,2 stars,Imadol Futsal
21,Saramsh Khadka,3 stars,Imadol Futsal
22,Bhupesh Thagunna,4 stars,Imadol Futsal
23,Mipo,5 stars,Imadol Futsal
24,Umesh Thapa,5 stars,Imadol Futsal
25,Umesh Dahal,4 stars,Imadol Futsal
26,Lᴇᴏ Sᴀɴᴅᴇꜱʜꔪ,5 stars,Imadol Futsal
27,Milan Kharel,4 stars,Imadol Futsal
28,Basu Basnet,4 stars,Imadol Futsal
29,Pradeep Subedi,4 stars,Imadol Futsal
30,supreme shakya,5 stars,Imadol Futsal
31,Anand Rai (Pro),3 stars,Imadol Futsal
32,Siddhartha Sapkota,5 stars,Imadol Futsal
33,Bhushan Karki,5 stars,Imadol Futsal
34,Maheshwar Chaudhary,4 stars,Imadol Futsal
35,Mahendra Phadera,4 stars,Imadol Futsal
36,Niraj Dhakal,5 stars,Imadol Futsal
37,Abhishek Shrestha,3 stars,Imadol Futsal
38,Sanskar Singh,5 stars,Imadol Futsal
39,Deepesh Jha,3 stars,Imadol Futsal
40,Kapil Poudel (Kapil-Tech),2 stars,Imadol Futsal
41,Pradip Babu,2 stars,Imadol Futsal
42,Amitesh Roy,2 stars,Imadol Futsal
43,amrit panthi,5 stars,Imadol Futsal
44,kapil dwa,3 stars,Imadol Futsal
