,name,rating,
0,Yusuf Raza Ansari,4 stars,Sunrise S.A.S Futsal
1,Rubik Joshi,3 stars,Sunrise S.A.S Futsal
2,Kishor Kundan,3 stars,Sunrise S.A.S Futsal
3,Pujan Shakya,3 stars,Sunrise S.A.S Futsal
4,Fact world,5 stars,Sunrise S.A.S Futsal
5,Bimal Panta,3 stars,Sunrise S.A.S Futsal
6,Lqr,5 stars,Sunrise S.A.S Futsal
7,Thapa Aashray,4 stars,Sunrise S.A.S Futsal
8,sushil sharma,3 stars,Sunrise S.A.S Futsal
9,Sudip Shrestha,1 star,Sunrise S.A.S Futsal
10,Anirudra Gc,4 stars,Sunrise S.A.S Futsal
11,Suman Ghimire,4 stars,Sunrise S.A.S Futsal
12,TheRandom one,2 stars,Sunrise S.A.S Futsal
13,Demo Slayer,4 stars,Sunrise S.A.S Futsal
14,Sabin Aryal,2 stars,Sunrise S.A.S Futsal
15,Avi Limbu,3 stars,Sunrise S.A.S Futsal
16,Ojasvi Tamang,3 stars,Sunrise S.A.S Futsal
17,nirmal bogati,4 stars,Sunrise S.A.S Futsal
18,kiran bhusal,4 stars,Sunrise S.A.S Futsal
19,Jeewan Rai,3 stars,Sunrise S.A.S Futsal
20,Amos Parbat,3 stars,Sunrise S.A.S Futsal
21,Pradeep Gurung,3 stars,Sunrise S.A.S Futsal
22,Pitambar Neupane,3 stars,Sunrise S.A.S Futsal
23,Raju Pradhan,3 stars,Sunrise S.A.S Futsal
24,Vivek Das,4 stars,Sunrise S.A.S Futsal
25,Rajesh Maharjan,5 stars,Sunrise S.A.S Futsal
26,suman khadka,4 stars,Sunrise S.A.S Futsal
27,Prem Silwal,3 stars,Sunrise S.A.S Futsal
28,ShawnZay Koirala,5 stars,Sunrise S.A.S Futsal
29,invoker gaming Support,5 stars,Sunrise S.A.S Futsal
30,Roshan Khadka,5 stars,Sunrise S.A.S Futsal
31,anil shrestha,3 stars,Sunrise S.A.S Futsal
32,Amarendra K Yadav,4 stars,Sunrise S.A.S Futsal
33,Khagendra Chand,3 stars,Sunrise S.A.S Futsal
34,Arbindra Shrestha,3 stars,Sunrise S.A.S Futsal
35,bipin khadka,1 star,Sunrise S.A.S Futsal
36,Dpac Maharzan,5 stars,Sunrise S.A.S Futsal
37,Saran Rawal,3 stars,Sunrise S.A.S Futsal
38,pradp mj,4 stars,Sunrise S.A.S Futsal
39,ujjwal gajurel,3 stars,Sunrise S.A.S Futsal
40,Sunny Ghale,4 stars,Sunrise S.A.S Futsal
41,Desar Jyoti,1 star,Sunrise S.A.S Futsal
42,AI Stha,5 stars,Sunrise S.A.S Futsal
43,Dev Shrestha,1 star,Sunrise S.A.S Futsal
44,Abhishek Kunwar,2 stars,Sunrise S.A.S Futsal
45,flick sangit,4 stars,Sunrise S.A.S Futsal
46,Arun Pandey,4 stars,Sunrise S.A.S Futsal
47,Suyog Dahal,2 stars,Sunrise S.A.S Futsal
48,Riwaz Shrestha,1 star,Sunrise S.A.S Futsal
49,Sanjog Lama,3 stars,Sunrise S.A.S Futsal
50,Ujjwal Sapkota,5 stars,Sunrise S.A.S Futsal
