,name,rating,
0,intoxicated knoxvill,5 stars,United Futsal
1,good vibes,5 stars,United Futsal
2,Dipesh Mahato,4 stars,United Futsal
3,Pratik Bhattarai,3 stars,United Futsal
4,Rakesh Pantha,3 stars,United Futsal
5,Gyanu kumar,4 stars,United Futsal
6,Sthapit Yuwa Pucha,5 stars,United Futsal
7,Sujan maharjan,5 stars,United Futsal
8,Hacknopedia,5 stars,United Futsal
9,Suraj Shrestha,3 stars,United Futsal
10,Jibigyan- Science,4 stars,United Futsal
11,sabin dangol,5 stars,United Futsal
12,Ganesh Ghale,5 stars,United Futsal
13,Abhishek Karki,4 stars,United Futsal
14,Sujan Magar,5 stars,United Futsal
15,krishna chalise,5 stars,United Futsal
16,News Nepal Gaming,3 stars,United Futsal
17,Sudeep,5 stars,United Futsal
18,Dipendra Rijal,5 stars,United Futsal
19,Sagar Lamichhane,5 stars,United Futsal
20,iloveSel _,5 stars,United Futsal
21,Sau Rab MahaRjan,5 stars,United Futsal
22,Prabal Ratna Tuladhar,4 stars,United Futsal
23,Ashutosh Baral,4 stars,United Futsal
24,suraj chitrakar,5 stars,United Futsal
25,Oero Mint,5 stars,United Futsal
26,Anil Khatiwada,3 stars,United Futsal
27,Ojasvi Tamang,4 stars,United Futsal
28,Pranish Poudel,5 stars,United Futsal
29,Dislike,4 stars,United Futsal
30,Prasun Shakya,4 stars,United Futsal
31,Roman Maharjan,5 stars,United Futsal
32,Binod Babu,5 stars,United Futsal
33,Niroj Shrestha,3 stars,United Futsal
34,Vivek Chaudhary,4 stars,United Futsal
35,samrat pradhan,4 stars,United Futsal
36,Prashanna Khatri,3 stars,United Futsal
37,Saroj Rokaya,5 stars,United Futsal
38,Prijun Koirala,4 stars,United Futsal
39,sujan Dheke,4 stars,United Futsal
40,sudarshan shrestha,5 stars,United Futsal
41,Arbindra Shrestha,3 stars,United Futsal
42,Subindra Karki,5 stars,United Futsal
43,Shreeram Adhikari,5 stars,United Futsal
44,asmin aryal,3 stars,United Futsal
45,Deepesh Timalsina,4 stars,United Futsal
46,Rakesh Maharjan,4 stars,United Futsal
47,Bharat Paudel,5 stars,United Futsal
48,Nayash Giri,1 star,United Futsal
49,TT clips,3 stars,United Futsal
50,Ganesh Rogers,5 stars,United Futsal
51,Pujan Katel,5 stars,United Futsal
52,Sanke E,4 stars,United Futsal
53,Jivit Khanal,5 stars,United Futsal
54,Dinesh Nepal,5 stars,United Futsal
55,Om Thapa,3 stars,United Futsal
56,Bipin Sapkota,4 stars,United Futsal
57,Suren Magar,3 stars,United Futsal
58,Manish Bhattarai,5 stars,United Futsal
59,Travel Nepal,5 stars,United Futsal
60,Suban Tuladhar,4 stars,United Futsal
61,মোঃরুবেল চাকরী,5 stars,United Futsal
62,rabindra manandhar,5 stars,United Futsal
63,Marley Maharjan,5 stars,United Futsal
64,barsha Bharati prasai,5 stars,United Futsal
65,Nikunjan Sharma,5 stars,United Futsal
66,Laxmanprasad Adhikari,4 stars,United Futsal
67,Driscoll Kshatree,4 stars,United Futsal
68,Aashish Gautam,4 stars,United Futsal
69,suresh maharjan,2 stars,United Futsal
70,Sandesh Pandey,3 stars,United Futsal
71,Birat Sapkota,4 stars,United Futsal
72,Bhuvan Maharjan,2 stars,United Futsal
73,Manoj Bajracharya,3 stars,United Futsal
74,anjali lawati,4 stars,United Futsal
75,Dipesh Ray,3 stars,United Futsal
76,Danking,3 stars,United Futsal
77,pawan lama,5 stars,United Futsal
78,REZ mhz,5 stars,United Futsal
79,Umesh Maharjan,3 stars,United Futsal
80,Sadik “Magic Mandy” Bhattarai,5 stars,United Futsal
81,Satchit Basnet,5 stars,United Futsal
82,Samir Thokar,3 stars,United Futsal
83,Ajayz Khadka,3 stars,United Futsal
84,Prakash Dhital,5 stars,United Futsal
85,Dikesh Man Dangol,4 stars,United Futsal
86,Suraj Sharma,3 stars,United Futsal
87,rewant singh,5 stars,United Futsal
88,Sujal Pokhrel,4 stars,United Futsal
89,Prem Sundar Prajapati,1 star,United Futsal
90,Abanish giri,5 stars,United Futsal
91,ND M,5 stars,United Futsal
92,Pratish Shakya,4 stars,United Futsal
93,Suban Tuladhar,2 stars,United Futsal
94,hari acharya,3 stars,United Futsal
95,Jeevan Tamang,3 stars,United Futsal
96,Sanjay Adhikari,5 stars,United Futsal
97,Anjani Khadka,4 stars,United Futsal
98,Dipendra Thapa,3 stars,United Futsal
99,Puran Sunar,5 stars,United Futsal
100,Anupam Bajracharya,5 stars,United Futsal
101,Aryan Rajbhandari,4 stars,United Futsal
102,arjun dhungel,4 stars,United Futsal
103,Saroj Khanal,5 stars,United Futsal
104,Niraj Poudel,5 stars,United Futsal
105,Divya Bajracharya,5 stars,United Futsal
106,BR Maharjan,5 stars,United Futsal
107,Nitin Gautam,5 stars,United Futsal
108,anil subedee,4 stars,United Futsal
109,Sudan Risal,5 stars,United Futsal
110,sujan kc,1 star,United Futsal
111,Lyfe Memory,5 stars,United Futsal
112,prashanna paudel,5 stars,United Futsal
113,Black Lotus,3 stars,United Futsal
114,sudip karmacharya,4 stars,United Futsal
115,Amit Thokar,4 stars,United Futsal
116,Abhay Rawal,5 stars,United Futsal
117,Anup Ranjitkar,4 stars,United Futsal
118,Bishan Shrestha,5 stars,United Futsal
119,Pradeepta Adhikari,4 stars,United Futsal
120,SLOW DRIVE,5 stars,United Futsal
