,name,rating,
0,Jackson Subedi,4 stars,X-cel Futsal
1,Sohan Aryal,5 stars,X-cel Futsal
2,Sandesh Jonchhe,2 stars,X-cel Futsal
3,Bikash Dangol,5 stars,X-cel Futsal
4,Suman Basnet,4 stars,X-cel Futsal
5,Sanjog Siwakoti,2 stars,X-cel Futsal
6,baibhav mallik,4 stars,X-cel Futsal
7,Anish Paudel,4 stars,X-cel Futsal
8,prabuddha R. shrestha,3 stars,X-cel Futsal
9,Rajiv Joshi,3 stars,X-cel Futsal
10,Anish Chhetri,4 stars,X-cel Futsal
11,Explore Nepal,4 stars,X-cel Futsal
12,Sarbaghya lohala,3 stars,X-cel Futsal
13,Prajwal Pyakurel,5 stars,X-cel Futsal
14,Nirab Pudasaini,4 stars,X-cel Futsal
15,Saramsh Khadka,3 stars,X-cel Futsal
16,Sujan maharjan,1 star,X-cel Futsal
17,PB Shrestha,5 stars,X-cel Futsal
18,ajay singh,3 stars,X-cel Futsal
19,Deepak Subedi,4 stars,X-cel Futsal
20,Sudeep Shrestha,4 stars,X-cel Futsal
21,Sagar Lamichhane,4 stars,X-cel Futsal
22,Ajay Acharya,3 stars,X-cel Futsal
23,subodh poudel,4 stars,X-cel Futsal
24,Gaurav Khanal,4 stars,X-cel Futsal
25,SitaRam Khadka,5 stars,X-cel Futsal
26,Binesh Maharjan,1 star,X-cel Futsal
27,Bijay Lama,3 stars,X-cel Futsal
28,Umesh Chakradhar,3 stars,X-cel Futsal
29,ayush010 “Ayush” Kuinkel,4 stars,X-cel Futsal
30,Bhim Tamang,3 stars,X-cel Futsal
31,Saroj limbu,2 stars,X-cel Futsal
32,Bipaswi Tuladhar,4 stars,X-cel Futsal
33,Bisham Regmi,4 stars,X-cel Futsal
34,Safal Upachar kendra,3 stars,X-cel Futsal
35,Hari Shrestha,3 stars,X-cel Futsal
36,Wosty,4 stars,X-cel Futsal
37,محمد شمسان,5 stars,X-cel Futsal
38,Mr_prazz,3 stars,X-cel Futsal
39,Meghnath Bhandari,4 stars,X-cel Futsal
40,Cringe Master,1 star,X-cel Futsal
41,Vickhal Ghimire,3 stars,X-cel Futsal
42,km ktm3003,1 star,X-cel Futsal
43,BWU,4 stars,X-cel Futsal
44,Sanjog Sigdel,3 stars,X-cel Futsal
45,Santosh Ojha,4 stars,X-cel Futsal
46,Santosh Puri,3 stars,X-cel Futsal
47,Biraj Karki,4 stars,X-cel Futsal
48,Pranjal Poudel,3 stars,X-cel Futsal
49,Amnaya Paudel,5 stars,X-cel Futsal
50,Swopnil Thakur,4 stars,X-cel Futsal
51,Bibhuraj Acharya,5 stars,X-cel Futsal
52,Prashant Floyd,2 stars,X-cel Futsal
53,Nagesh Badu,3 stars,X-cel Futsal
54,Akhilesh Karki,3 stars,X-cel Futsal
55,Piyush Singh,4 stars,X-cel Futsal
56,Kedar Silwal,5 stars,X-cel Futsal
57,Nayan Awal,3 stars,X-cel Futsal
58,Pritijan Maharjan,3 stars,X-cel Futsal
59,Jigmee Sherpa,2 stars,X-cel Futsal
60,Rocky Rocky,5 stars,X-cel Futsal
61,Utsav Shrestha,1 star,X-cel Futsal
62,Avishek Silwal,4 stars,X-cel Futsal
63,Prijun Koirala,3 stars,X-cel Futsal
64,nabin paudyal,3 stars,X-cel Futsal
65,Kedar Silwal,4 stars,X-cel Futsal
66,Saurav Bhujel,4 stars,X-cel Futsal
67,Bhuwan Sharma,3 stars,X-cel Futsal
68,sanjog lama,5 stars,X-cel Futsal
69,Reshan Hanzz,5 stars,X-cel Futsal
70,Niraj Ghimire,5 stars,X-cel Futsal
71,ankit rateria,4 stars,X-cel Futsal
72,anjan adhikari,3 stars,X-cel Futsal
73,Samman,5 stars,X-cel Futsal
74,Shiva Aryal,5 stars,X-cel Futsal
75,Raman Shrestha,4 stars,X-cel Futsal
76,suyogya shrestha,5 stars,X-cel Futsal
77,Nabin Dahal,5 stars,X-cel Futsal
78,Prajwol Bogati,4 stars,X-cel Futsal
79,chetan Bhttarai,1 star,X-cel Futsal
80,Kritagya Shrestha,4 stars,X-cel Futsal
81,Aman Lama,5 stars,X-cel Futsal
82,aman lama,4 stars,X-cel Futsal
83,Bibek Shrestha,5 stars,X-cel Futsal
84,Arjun Mahara,4 stars,X-cel Futsal
85,Reeta Pradhan,1 star,X-cel Futsal
86,Kunjan Thapa,4 stars,X-cel Futsal
87,sugam neupane,4 stars,X-cel Futsal
88,Sulabh Shrestha,4 stars,X-cel Futsal
89,Rupak Sthapit,4 stars,X-cel Futsal
90,banish sapkota,4 stars,X-cel Futsal
91,BIKASH MAHATO,4 stars,X-cel Futsal
92,Rupak Maharjan,3 stars,X-cel Futsal
93,Anil Blon,5 stars,X-cel Futsal
94,Asadh Shaheed,4 stars,X-cel Futsal
95,Sanskar Singh,4 stars,X-cel Futsal
96,Dhiraj Bhattarai,5 stars,X-cel Futsal
97,Jawknock Raazaa,2 stars,X-cel Futsal
98,Aneel,4 stars,X-cel Futsal
99,AyaM Sawd,3 stars,X-cel Futsal
100,Abhisek Poudel,3 stars,X-cel Futsal
101,Piyush Giri,5 stars,X-cel Futsal
102,Seliz Stha,4 stars,X-cel Futsal
103,Nayan Pokharel,5 stars,X-cel Futsal
104,Nischal Dawadi,5 stars,X-cel Futsal
105,prawin1311,3 stars,X-cel Futsal
106,narendra maharjan,4 stars,X-cel Futsal
107,Bishwojeet Bhattarai,4 stars,X-cel Futsal
108,Prabin Joshi,4 stars,X-cel Futsal
109,JN Pachhai,2 stars,X-cel Futsal
110,Purna Chandra Adhikari,4 stars,X-cel Futsal
111,sandesh pokharel,4 stars,X-cel Futsal
112,Bikash,3 stars,X-cel Futsal
113,Ishwor kadariya,3 stars,X-cel Futsal
114,Avn Jung Khadka,3 stars,X-cel Futsal
115,Pradeep Rai,1 star,X-cel Futsal
116,HOLY,5 stars,X-cel Futsal
117,Sushek Tamrakar,5 stars,X-cel Futsal
118,Umang Khatiwada,5 stars,X-cel Futsal
119,Bibek Dhakal,3 stars,X-cel Futsal
120,Javier Ingrid,3 stars,X-cel Futsal
121,Sudarshan Tiwari,3 stars,X-cel Futsal
122,Bijay K. Thapa Magar,3 stars,X-cel Futsal
123,Sabal Shrestha,5 stars,X-cel Futsal
124,Ankit Parajuli,2 stars,X-cel Futsal
125,Suman Giri,1 star,X-cel Futsal
126,GRAND WEEBO,3 stars,X-cel Futsal
127,Schuraj Suraj,3 stars,X-cel Futsal
128,Raazu Thapa,4 stars,X-cel Futsal
129,Laxman Jung Khadka,5 stars,X-cel Futsal
130,sagar kc,4 stars,X-cel Futsal
131,Tejshree Basnet,5 stars,X-cel Futsal
132,NBT Thapa,4 stars,X-cel Futsal
133,Prashant Paudel,3 stars,X-cel Futsal
134,Neeraj K,4 stars,X-cel Futsal
135,Samir Danuwar,3 stars,X-cel Futsal
136,Tirtha Jung,4 stars,X-cel Futsal
137,Alter Ego,4 stars,X-cel Futsal
138,Banid Prajapati,5 stars,X-cel Futsal
139,Sanjay Hona (sssanjaya),2 stars,X-cel Futsal
140,alisha shakya,4 stars,X-cel Futsal
141,Sadaiba Acharya,5 stars,X-cel Futsal
142,kamal bhatta,4 stars,X-cel Futsal
143,Pramod Maharjan,3 stars,X-cel Futsal
144,Yanish Maharjan,4 stars,X-cel Futsal
145,Bhushan Shrestha,4 stars,X-cel Futsal
146,Ajay Chaudhary,5 stars,X-cel Futsal
147,Anjali Shrestha,1 star,X-cel Futsal
148,Niraj Shrestha,4 stars,X-cel Futsal
149,Pramesh Vaidya,3 stars,X-cel Futsal
150,Apil Subedi,2 stars,X-cel Futsal
151,Mridul KC,4 stars,X-cel Futsal
152,Sandip Bhattarai,4 stars,X-cel Futsal
153,Bhavesh Lakoul,2 stars,X-cel Futsal
154,Upset Sawin,5 stars,X-cel Futsal
155,Gineez Sarkar,5 stars,X-cel Futsal
156,Rohit Dhimal,4 stars,X-cel Futsal
157,suraj dahal,3 stars,X-cel Futsal
158,Manish Ranjitkar,2 stars,X-cel Futsal
159,pravin ghimire,2 stars,X-cel Futsal
160,Hyper,4 stars,X-cel Futsal
161,Mihang Limbu,2 stars,X-cel Futsal
162,Reshav Tamang,3 stars,X-cel Futsal
163,shirish shrestha,4 stars,X-cel Futsal
164,Santoshi Shrestha,5 stars,X-cel Futsal
165,nabin shrestha,2 stars,X-cel Futsal
166,rajan maharjan,4 stars,X-cel Futsal
167,jaN,4 stars,X-cel Futsal
168,Pemba Sherpa,5 stars,X-cel Futsal
169,Shreyash Paudyal,4 stars,X-cel Futsal
170,Subha Rai,4 stars,X-cel Futsal
171,Dinesh Shrestha,5 stars,X-cel Futsal
172,Sujan koirala,5 stars,X-cel Futsal
173,Dipesh,5 stars,X-cel Futsal
174,Dipesh Pradhan,4 stars,X-cel Futsal
175,Kashish Dahal,3 stars,X-cel Futsal
176,Sngit Rawal,4 stars,X-cel Futsal
177,Riwaj Dahal,5 stars,X-cel Futsal
178,GaminGHousENepaL,4 stars,X-cel Futsal
179,Aakash Bhusal,5 stars,X-cel Futsal
180,Suyog Maskey,5 stars,X-cel Futsal
181,Dailo Arts दैलो आर्टस्,5 stars,X-cel Futsal
182,Samir Samba,3 stars,X-cel Futsal
183,Srijay Bhandari,5 stars,X-cel Futsal
184,Manij Rai,4 stars,X-cel Futsal
185,Sanjeev Moktan,2 stars,X-cel Futsal
186,Anish Mainalee,4 stars,X-cel Futsal
187,Yubaraj Singh,4 stars,X-cel Futsal
188,MaanEesh YT,3 stars,X-cel Futsal
189,Bhim Shrestha,2 stars,X-cel Futsal
190,Suraj Bikram Karki,5 stars,X-cel Futsal
191,Sanish Shakya,4 stars,X-cel Futsal
192,pujan aryal,2 stars,X-cel Futsal
193,Soman Sharma,1 star,X-cel Futsal
194,bikram joshi,4 stars,X-cel Futsal
195,Rikesh Tamang,4 stars,X-cel Futsal
196,Saurav Shrestha,3 stars,X-cel Futsal
197,Dixita Vaidya,5 stars,X-cel Futsal
198,Binod Barai,4 stars,X-cel Futsal
